"replica","omega","sigma_q","sigma_t","phi","eta","shock","calibracion_ok","shock_ok","pib_real_base","pib_real_shock","var_pib_real_pct","var_c_real_pct","var_i_real_pct","var_x_real_pct","var_m_real_pct","delta_tax_pp_pib","delta_u_pp","norm_calibracion","parametro_var","valor_var"
14,1.5,4,1.5,0.1,0.5,"fit",TRUE,TRUE,282097.798326924,282377.831803853,0.0992682249168597,0.0682270063073753,0.254708714922214,0.0216370318832038,0.0361224176647745,-0.067050088623738,-0.21573380467332,2.47765041939308e-05,"sigma_q",4
15,1.5,2,0.5,0.1,0.5,"iva",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.992041721676431,"sigma_t",0.5
15,1.5,2,0.5,0.1,0.5,"pit",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.992041721676431,"sigma_t",0.5
15,1.5,2,0.5,0.1,0.5,"fit",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.992041721676431,"sigma_t",0.5
16,1.5,2,0.916666666666667,0.1,0.5,"iva",TRUE,TRUE,282097.798326924,281767.777676825,-0.116988027576514,-0.137415945393382,-0.0713599750154392,-0.138689686026705,-0.0876881824038889,0.00190377109772211,0.441225106715886,2.47765041939322e-05,"sigma_t",0.916666666666667
16,1.5,2,0.916666666666667,0.1,0.5,"pit",TRUE,TRUE,282097.798326924,281003.872040333,-0.387782638885814,-0.5237979521999,-0.167741140241606,-0.212047033393281,-0.11778499018974,0.0146801272166541,0.814994882538398,2.47765041939322e-05,"sigma_t",0.916666666666667
16,1.5,2,0.916666666666667,0.1,0.5,"fit",TRUE,TRUE,282097.798326924,282372.73008285,0.0974597311842462,0.0650410050242467,0.25480276191554,0.0354349328080428,0.0500036107492718,-0.0670148410965576,-0.212145798053802,2.47765041939322e-05,"sigma_t",0.916666666666667
17,1.5,2,1.33333333333333,0.1,0.5,"iva",TRUE,TRUE,282097.798326924,281766.490027267,-0.117444482594897,-0.13822327459968,-0.0712913503817747,-0.142728068051856,-0.0918950842732968,0.00190519668838707,0.442248729767074,2.47765041939322e-05,"sigma_t",1.33333333333333
17,1.5,2,1.33333333333333,0.1,0.5,"pit",TRUE,TRUE,282097.798326924,281001.502540837,-0.388622595634813,-0.525285267056896,-0.167611847964033,-0.219626237182191,-0.125679578292559,0.0146826171564862,0.816883789059135,2.47765041939322e-05,"sigma_t",1.33333333333333
17,1.5,2,1.33333333333333,0.1,0.5,"fit",TRUE,TRUE,282097.798326924,282373.18369419,0.0976205305037059,0.0653362495735443,0.254777553734842,0.0364167434520946,0.0510529938494875,-0.0670173943040031,-0.212528750404248,2.47765041939322e-05,"sigma_t",1.33333333333333
18,1.5,2,1.75,0.1,0.5,"iva",TRUE,TRUE,282097.798326924,281765.319563865,-0.117859396645792,-0.138966020231834,-0.0712277459321564,-0.146072294409938,-0.0953999348432211,0.00190837519592202,0.443196648494502,2.47765041939322e-05,"sigma_t",1.75
18,1.5,2,1.75,0.1,0.5,"pit",TRUE,TRUE,282097.798326924,280999.34970452,-0.389385748105231,-0.526653022609758,-0.167492210366116,-0.225895690733569,-0.132249045495492,0.0146884004869285,0.818632849057832,2.47765041939322e-05,"sigma_t",1.75
18,1.5,2,1.75,0.1,0.5,"fit",TRUE,TRUE,282097.798326924,282373.618746103,0.0977747507476368,0.065621119405801,0.254753172659172,0.0372950418764395,0.0519975322317956,-0.0670201975426499,-0.212899468971527,2.47765041939322e-05,"sigma_t",1.75
19,1.5,2,2.16666666666667,0.1,0.5,"iva",TRUE,TRUE,282097.798326924,281764.2291049,-0.118245950164086,-0.139664511015714,-0.071167580544873,-0.148949252100705,-0.0984320004288386,0.00191271367148138,0.444092559696531,2.47765041939322e-05,"sigma_t",2.16666666666667
19,1.5,2,2.16666666666667,0.1,0.5,"pit",TRUE,TRUE,282097.798326924,280997.345118047,-0.390096347934354,-0.527938652929372,-0.16737917639249,-0.231283600570997,-0.137926234451713,0.014696359930641,0.820285600017309,2.47765041939322e-05,"sigma_t",2.16666666666667
